year,province,category,score,rank_start,rank_end,count
2025,Hunan,Physics,541,50974,51729,756
2025,Hunan,Physics,540,51730,52569,840
2025,Hunan,Physics,539,52570,53361,792
2025,Hunan,Physics,538,53362,54204,843
2025,Hunan,Physics,537,54205,55007,803
2025,Hunan,Physics,536,55008,55823,816
2025,Hunan,Physics,535,55824,56712,889
2025,Hunan,Physics,534,56713,57535,823
2025,Hunan,Physics,533,57536,58342,807
2025,Hunan,Physics,532,58307,59218,912
2025,Hunan,Physics,531,59255,60130,876
2025,Hunan,Physics,530,60131,61016,886
2025,Hunan,Physics,529,61017,61880,864
2025,Hunan,Physics,528,61881,62757,877
2025,Hunan,Physics,527,62758,63627,870
2025,Hunan,Physics,526,63628,64558,931
2025,Hunan,Physics,525,64559,65455,897
2025,Hunan,Physics,524,65456,66377,922
2025,Hunan,Physics,523,66378,67295,918
2025,Hunan,Physics,522,67296,68225,930
2025,Hunan,Physics,521,68226,69188,963
2025,Hunan,Physics,520,69169,70142,974
2025,Hunan,Physics,519,70143,71119,977
2025,Hunan,Physics,518,71120,72077,958
2025,Hunan,Physics,517,72078,73013,936
2025,Hunan,Physics,516,73014,74027,1014
2025,Hunan,Physics,515,74028,74962,935
2025,Hunan,Physics,514,74963,75952,990
2025,Hunan,Physics,513,75953,76951,999
2025,Hunan,Physics,512,76982,77998,1017
2025,Hunan,Physics,511,77999,78999,1001
2025,Hunan,Physics,510,79000,80008,1009
2025,Hunan,Physics,509,80009,81069,1061
2025,Hunan,Physics,508,81070,82093,1024
2025,Hunan,Physics,507,82094,83152,1059
2025,Hunan,Physics,506,83153,84198,1046
2025,Hunan,Physics,505,84199,85352,1154
2025,Hunan,Physics,504,85353,86449,1097
2025,Hunan,Physics,503,86450,87520,1071
2025,Hunan,Physics,502,87521,88548,1028
2025,Hunan,Physics,501,88549,89625,1077
2025,Hunan,Physics,500,89626,90705,1080
2025,Hunan,Physics,499,90706,91840,1135
2025,Hunan,Physics,498,91841,92992,1152
2025,Hunan,Physics,497,92993,94171,1179
2025,Hunan,Physics,496,94172,95338,1167
2025,Hunan,Physics,495,95339,96459,1121
2025,Hunan,Physics,494,96460,97592,1133
2025,Hunan,Physics,493,97593,98756,1164
2025,Hunan,Physics,492,98757,99960,1204
2025,Hunan,Physics,491,99961,101126,1166
2025,Hunan,Physics,490,101127,102293,1167
2025,Hunan,Physics,489,102294,103409,1116
2025,Hunan,Physics,488,103410,104648,1239
2025,Hunan,Physics,487,104649,105871,1223
2025,Hunan,Physics,486,105872,107082,1211
2025,Hunan,Physics,485,107083,108253,1171
2025,Hunan,Physics,484,108254,109438,1185
2025,Hunan,Physics,483,109439,110693,1255
2025,Hunan,Physics,482,110694,111948,1255
2025,Hunan,Physics,481,111949,113115,1167
2025,Hunan,Physics,480,113116,114419,1304
2025,Hunan,Physics,479,114420,115667,1248
2025,Hunan,Physics,478,115668,116904,1237
2025,Hunan,Physics,477,116905,118119,1215
2025,Hunan,Physics,476,118120,119396,1277
2025,Hunan,Physics,475,119397,120662,1266
2025,Hunan,Physics,474,120663,121969,1307
2025,Hunan,Physics,473,121970,123239,1270
2025,Hunan,Physics,472,123240,124520,1281
2025,Hunan,Physics,471,124521,125833,1313
2025,Hunan,Physics,470,125834,127104,1271
2025,Hunan,Physics,469,127105,128457,1353
2025,Hunan,Physics,468,128458,129773,1316
2025,Hunan,Physics,467,129774,131077,1304
2025,Hunan,Physics,466,131078,132409,1332
2025,Hunan,Physics,465,132410,133720,1311
2025,Hunan,Physics,464,133721,135109,1389
2025,Hunan,Physics,463,135110,136388,1279
2025,Hunan,Physics,462,136389,137709,1321
2025,Hunan,Physics,461,137710,139048,1339
2025,Hunan,Physics,460,139049,140382,1334
2025,Hunan,Physics,459,140383,141751,1369
2025,Hunan,Physics,458,141752,143070,1319
2025,Hunan,Physics,457,143071,144362,1292
2025,Hunan,Physics,456,144363,145716,1354
2025,Hunan,Physics,455,145717,147026,1310
2025,Hunan,Physics,454,147027,148351,1325
2025,Hunan,Physics,453,148352,149704,1353
2025,Hunan,Physics,452,149705,150984,1280
2025,Hunan,Physics,451,150985,152300,1316
2025,Hunan,Physics,450,152301,153634,1334
2025,Hunan,Physics,449,153635,154943,1309
