year,province,category,score,rank_start,rank_end,count
2026,Hunan,History,493,28890,29319,430
2026,Hunan,History,492,29320,29791,472
2026,Hunan,History,491,29792,30222,431
2026,Hunan,History,490,30223,30658,436
2026,Hunan,History,489,30659,31127,469
2026,Hunan,History,488,31128,31579,452
2026,Hunan,History,487,31580,32036,457
2026,Hunan,History,486,32037,32515,479
2026,Hunan,History,485,32516,32993,478
2026,Hunan,History,484,32994,33479,486
2026,Hunan,History,483,33480,33956,477
2026,Hunan,History,482,33957,34455,499
2026,Hunan,History,481,34456,34942,487
2026,Hunan,History,480,34943,35430,488
2026,Hunan,History,479,35431,35897,467
2026,Hunan,History,478,35898,36358,461
2026,Hunan,History,477,36359,36839,481
2026,Hunan,History,476,36840,37354,515
2026,Hunan,History,475,37355,37811,457
2026,Hunan,History,474,37812,38295,484
2026,Hunan,History,473,38296,38772,477
2026,Hunan,History,472,38773,39279,507
2026,Hunan,History,471,39280,39748,469
2026,Hunan,History,470,39749,40246,498
2026,Hunan,History,469,40247,40715,469
2026,Hunan,History,468,40716,41230,515
2026,Hunan,History,467,41231,41718,488
2026,Hunan,History,466,41719,42223,505
2026,Hunan,History,465,42224,42744,521
2026,Hunan,History,464,42745,43248,504
2026,Hunan,History,463,43249,43807,559
2026,Hunan,History,462,43808,44303,496
2026,Hunan,History,461,44304,44851,548
2026,Hunan,History,460,44852,45390,539
2026,Hunan,History,459,45391,45929,539
2026,Hunan,History,458,45930,46446,517
2026,Hunan,History,457,46447,47020,574
2026,Hunan,History,456,47021,47549,529
2026,Hunan,History,455,47550,48082,533
2026,Hunan,History,454,48083,48625,543
2026,Hunan,History,453,48626,49140,515
2026,Hunan,History,452,49141,49655,515
2026,Hunan,History,451,49656,50193,538
2026,Hunan,History,450,50194,50724,531
2026,Hunan,History,449,50725,51253,529
2026,Hunan,History,448,51254,51790,537
2026,Hunan,History,447,51791,52321,531
2026,Hunan,History,446,52322,52831,510
2026,Hunan,History,445,52832,53361,530
2026,Hunan,History,444,53362,53887,526
2026,Hunan,History,443,53888,54469,582
2026,Hunan,History,442,54470,55033,564
2026,Hunan,History,441,55034,55579,546
2026,Hunan,History,440,55580,56109,530
2026,Hunan,History,439,56110,56680,571
2026,Hunan,History,438,56681,57206,526
2026,Hunan,History,437,57207,57739,533
2026,Hunan,History,436,57740,58266,527
2026,Hunan,History,435,58267,58774,508
2026,Hunan,History,434,58775,59323,549
2026,Hunan,History,433,59324,59871,548
2026,Hunan,History,432,59872,60440,569
2026,Hunan,History,431,60441,60990,550
2026,Hunan,History,430,60991,61542,552
2026,Hunan,History,429,61543,62072,530
2026,Hunan,History,428,62073,62637,565
2026,Hunan,History,427,62638,63177,540
2026,Hunan,History,426,63178,63750,573
2026,Hunan,History,425,63751,64280,530
2026,Hunan,History,424,64281,64849,569
2026,Hunan,History,423,64850,65374,525
2026,Hunan,History,422,65375,65917,543
2026,Hunan,History,421,65918,66479,562
2026,Hunan,History,420,66480,67003,524
2026,Hunan,History,419,67004,67554,551
2026,Hunan,History,418,67555,68079,525
2026,Hunan,History,417,68080,68642,563
2026,Hunan,History,416,68643,69198,556
2026,Hunan,History,415,69199,69732,534
2026,Hunan,History,414,69733,70253,521
2026,Hunan,History,413,70254,70827,574
2026,Hunan,History,412,70828,71436,609
2026,Hunan,History,411,71437,71969,533
2026,Hunan,History,410,71970,72496,527
2026,Hunan,History,409,72497,73112,616
2026,Hunan,History,408,73113,73657,545
2026,Hunan,History,407,73658,74184,527
2026,Hunan,History,406,74185,74704,520
2026,Hunan,History,405,74705,75254,550
2026,Hunan,History,404,75255,75862,608
2026,Hunan,History,403,75863,76427,565
2026,Hunan,History,402,76428,76942,515
2026,Hunan,History,401,76943,77490,548
2026,Hunan,History,400,77491,78041,551
2026,Hunan,History,399,78042,78618,577
2026,Hunan,History,398,78619,79176,558
2026,Hunan,History,397,79177,79721,545
2026,Hunan,History,396,79722,80223,502
2026,Hunan,History,395,80224,80780,557
2026,Hunan,History,394,80781,81292,512
2026,Hunan,History,393,81293,81841,549
2026,Hunan,History,392,81842,82374,533
2026,Hunan,History,391,82375,82914,540
2026,Hunan,History,390,82915,83428,514
2026,Hunan,History,389,83429,83957,529
2026,Hunan,History,388,83958,84520,563
2026,Hunan,History,387,84521,85065,545
2026,Hunan,History,386,85066,85611,546
2026,Hunan,History,385,85612,86148,537
2026,Hunan,History,384,86149,86660,512
2026,Hunan,History,383,86661,87175,515
2026,Hunan,History,382,87176,87702,527
2026,Hunan,History,381,87703,88247,545
2026,Hunan,History,380,88248,88742,495
2026,Hunan,History,379,88743,89312,570
2026,Hunan,History,378,89313,89865,553
2026,Hunan,History,377,89866,90366,501
2026,Hunan,History,376,90367,90905,539
2026,Hunan,History,375,90906,91470,565
2026,Hunan,History,374,91471,92008,538
2026,Hunan,History,373,92009,92514,506
2026,Hunan,History,372,92515,93037,523
2026,Hunan,History,371,93038,93524,487
2026,Hunan,History,370,93525,94039,515
2026,Hunan,History,369,94040,94561,522
2026,Hunan,History,368,94562,95111,550
2026,Hunan,History,367,95112,95625,514
2026,Hunan,History,366,95626,96112,487
2026,Hunan,History,365,96113,96606,494
2026,Hunan,History,364,96607,97126,520
2026,Hunan,History,363,97127,97600,474
2026,Hunan,History,362,97601,98104,504
2026,Hunan,History,361,98105,98597,493
2026,Hunan,History,360,98598,99115,518
2026,Hunan,History,359,99116,99661,546
2026,Hunan,History,358,99662,100128,467
2026,Hunan,History,357,100129,100662,534
2026,Hunan,History,356,100663,101149,487
2026,Hunan,History,355,101150,101664,515
2026,Hunan,History,354,101665,102184,520
2026,Hunan,History,353,102185,102641,457
2026,Hunan,History,352,102642,103135,494
2026,Hunan,History,351,103136,103562,427
2026,Hunan,History,350,103563,104013,451
2026,Hunan,History,349,104014,104508,495
2026,Hunan,History,348,104509,104962,454
2026,Hunan,History,347,104963,105411,449
2026,Hunan,History,346,105412,105858,447
2026,Hunan,History,345,105859,106309,451
2026,Hunan,History,344,106310,106717,408
2026,Hunan,History,343,106718,107132,415
2026,Hunan,History,342,107133,107581,449
2026,Hunan,History,341,107582,108057,476
2026,Hunan,History,340,108058,108517,460
2026,Hunan,History,339,108518,109003,486
2026,Hunan,History,338,109004,109485,482
2026,Hunan,History,337,109486,109943,458
2026,Hunan,History,336,109944,110347,404
2026,Hunan,History,335,110348,110756,409
2026,Hunan,History,334,110757,111170,414
2026,Hunan,History,333,111171,111561,391
2026,Hunan,History,332,111562,111970,409
2026,Hunan,History,331,111971,112347,377
2026,Hunan,History,330,112348,112729,382
2026,Hunan,History,329,112730,113137,408
2026,Hunan,History,328,113138,113524,387
2026,Hunan,History,327,113525,113921,397
2026,Hunan,History,326,113922,114279,358
2026,Hunan,History,325,114280,114658,379
2026,Hunan,History,324,114659,115070,412
2026,Hunan,History,323,115071,115463,393
2026,Hunan,History,322,115464,115845,382
2026,Hunan,History,321,115846,116192,347
2026,Hunan,History,320,116193,116561,369
2026,Hunan,History,319,116562,116930,369
2026,Hunan,History,318,116931,117303,373
2026,Hunan,History,317,117304,117651,348
2026,Hunan,History,316,117652,118008,357
2026,Hunan,History,315,118009,118350,342
2026,Hunan,History,314,118351,118715,365
2026,Hunan,History,313,118716,119068,353
2026,Hunan,History,312,119069,119405,337
2026,Hunan,History,311,119406,119737,332
2026,Hunan,History,310,119738,120107,370
2026,Hunan,History,309,120108,120450,343
2026,Hunan,History,308,120451,120767,317
2026,Hunan,History,307,120768,121080,313
2026,Hunan,History,306,121081,121379,299
2026,Hunan,History,305,121380,121709,330
2026,Hunan,History,304,121710,122029,320
2026,Hunan,History,303,122030,122363,334
2026,Hunan,History,302,122364,122654,291
2026,Hunan,History,301,122655,122953,299
2026,Hunan,History,300,122954,123240,287
2026,Hunan,History,299,123241,123538,298
2026,Hunan,History,298,123539,123838,300
2026,Hunan,History,297,123839,124106,268
2026,Hunan,History,296,124107,124373,267
2026,Hunan,History,295,124374,124688,315
2026,Hunan,History,294,124689,124948,260
2026,Hunan,History,293,124949,125226,278
2026,Hunan,History,292,125227,125495,269
2026,Hunan,History,291,125496,125751,256
2026,Hunan,History,290,125752,126024,273
2026,Hunan,History,289,126025,126306,282
2026,Hunan,History,288,126307,126541,235
2026,Hunan,History,287,126542,126786,245
2026,Hunan,History,286,126787,127009,223
2026,Hunan,History,285,127010,127247,238
2026,Hunan,History,284,127248,127484,237
2026,Hunan,History,283,127485,127696,212
2026,Hunan,History,282,127697,127936,240
2026,Hunan,History,281,127937,128159,223
2026,Hunan,History,280,128160,128374,215
2026,Hunan,History,279,128375,128620,246
2026,Hunan,History,278,128621,128830,210
2026,Hunan,History,277,128831,129041,211
2026,Hunan,History,276,129042,129271,230
2026,Hunan,History,275,129272,129494,223
2026,Hunan,History,274,129495,129690,196
2026,Hunan,History,273,129691,129876,186
2026,Hunan,History,272,129877,130086,210
2026,Hunan,History,271,130087,130287,201
2026,Hunan,History,270,130288,130491,204
2026,Hunan,History,269,130492,130683,192
2026,Hunan,History,268,130684,130895,212
2026,Hunan,History,267,130896,131107,212
2026,Hunan,History,266,131108,131313,206
2026,Hunan,History,265,131314,131489,176
2026,Hunan,History,264,131490,131679,190
2026,Hunan,History,263,131680,131842,163
2026,Hunan,History,262,131843,132031,189
2026,Hunan,History,261,132032,132191,160
2026,Hunan,History,260,132192,132351,160
2026,Hunan,History,259,132352,132504,153
2026,Hunan,History,258,132505,132655,151
2026,Hunan,History,257,132656,132802,147
2026,Hunan,History,256,132803,132953,151
2026,Hunan,History,255,132954,133106,153
2026,Hunan,History,254,133107,133251,145
2026,Hunan,History,253,133252,133399,148
2026,Hunan,History,252,133400,133527,128
2026,Hunan,History,251,133528,133674,147
2026,Hunan,History,250,133675,133798,124
2026,Hunan,History,249,133799,133919,121
2026,Hunan,History,248,133920,134070,151
2026,Hunan,History,247,134071,134200,130
2026,Hunan,History,246,134201,134325,125
2026,Hunan,History,245,134326,134443,118
2026,Hunan,History,244,134444,134581,138
2026,Hunan,History,243,134582,134678,97
2026,Hunan,History,242,134679,134764,86
2026,Hunan,History,241,134765,134866,102
2026,Hunan,History,240,134867,134947,81
2026,Hunan,History,239,134948,135057,110
2026,Hunan,History,238,135058,135139,82
